snapshot_month,opportunity_id,stage_at_snapshot,arr_at_snapshot,forecast_cat_at_snapshot,close_date_at_snapshot,stage_age_days,next_step_date,owner_id
2026-04,OPP-099,Negotiation,56000,Best Case,2026-07-01,116,13/04/2026,REP-006
2026-05,OPP-099,Contracting,56000,Committed,2026-07-01,11,2026-05-21,REP-006
2026-02,OPP-100,Business Validation,13000,Pipeline,2026-07-01,67,17/02/2026,REP-007
2026-03,OPP-100,Evaluation,15000,Best Case,2026-07-01,10,20/03/2026,REP-007
2026-04,OPP-100,Eval,15000,Best Case,2026-07-01,38,2026-04-09,REP-007
2026-05,OPP-100,Eval,15000,Best Case,2026-07-01,66,2026-05-20,REP-007
2026-02,OPP-101,Biz Val,21000,Pipeline,2026-07-01,43,,REP-007
2026-03,OPP-101,Business Validation,21000,Pipeline,2026-07-01,71,,REP-007
2026-04,OPP-101,Business Validation,21000,Pipeline,2026-07-01,99,11/04/2026,REP-007
2026-05,OPP-101,Bus. Validation,21000,Pipeline,2026-08-01,127,16/05/2026,REP-007
2026-03,OPP-102,EVALUATE,41000,Best Case,2026-06-04,41,2026-03-15,REP-007
2026-04,OPP-102,Evaluate,41000,Best Case,2026-06-04,69,18/04/2026,REP-007
2026-05,OPP-102,Eval,41000,Best Case,2026-06-04,97,2026-05-11,REP-007
2026-02,OPP-103,Evaluation,12000,Best Case,2026-06-10,43,,REP-007
2026-03,OPP-103,Evaluation,12000,Best Case,2026-06-10,71,21/03/2026,REP-007
2026-04,OPP-103,Evaluation,12000,Best Case,2026-06-10,99,13/04/2026,REP-007
2026-05,OPP-103,EVALUATE,12000,Best Case,2026-06-10,127,2026-05-21,REP-007
2026-02,OPP-104,Qualified,49000,Pipeline,2026-08-01,62,07/02/2026,REP-008
2026-03,OPP-104,Qualified,49000,Pipeline,2026-08-01,90,,REP-008
2026-04,OPP-104,Qualified,49000,Pipeline,2026-08-01,118,2026-04-09,REP-008
2026-05,OPP-104,Biz Val,49000,Pipeline,2026-08-01,13,2026-05-11,REP-008
2026-02,OPP-105,BV,13000,Pipeline,2026-07-01,63,,REP-008
2026-03,OPP-105,Evaluation,13000,Best Case,2026-07-01,6,2026-03-09,REP-008
2026-04,OPP-105,Neg,13000,Best Case,2026-07-01,6,2026-04-13,REP-008
2026-05,OPP-105,Contracting,13000,Committed,2026-07-01,12,19/05/2026,REP-008
2026-03,OPP-106,BV,6000,Pipeline,2026-07-01,50,17/03/2026,REP-008
2026-04,OPP-106,BV,6000,Pipeline,2026-07-01,78,,REP-008
2026-05,OPP-106,Evaluation,6000,Best Case,2026-07-01,14,12/05/2026,REP-008
2026-04,OPP-107,EVALUATE,110000,Best Case,2026-07-17,64,,REP-008
2026-05,OPP-107,Negotiation,110000,Best Case,2026-07-17,14,2026-05-20,REP-008
2026-02,OPP-108,disco,39000,Pipeline,2026-06-11,65,2026-02-19,REP-009
2026-03,OPP-108,NBM,39000,Pipeline,2026-07-01,6,,REP-009
2026-04,OPP-108,Init Mtg,39000,Pipeline,2026-07-01,34,,REP-009
2026-05,OPP-108,Initial Meeting,39000,Pipeline,2026-07-01,62,,REP-009
2026-02,OPP-109,Discovery,10000,Pipeline,2026-07-01,56,,REP-009
2026-03,OPP-109,Initial Meeting,10000,Pipeline,2026-07-01,8,,REP-009
2026-04,OPP-109,Qual,10000,Pipeline,2026-08-01,3,,REP-009
2026-05,OPP-109,Qual,10000,Pipeline,2026-08-01,31,11/05/2026,REP-009
2026-03,OPP-110,Discovery,37000,Pipeline,2026-08-01,58,,REP-010
2026-04,OPP-110,Discovery,37000,Pipeline,2026-08-01,86,,REP-010
2026-05,OPP-110,Discovery,37000,Pipeline,2026-08-01,114,,REP-010
2026-02,OPP-111,disco,28000,Pipeline,2026-06-01,48,,REP-010
2026-03,OPP-111,Discovery,28000,Pipeline,2026-06-01,76,,REP-010
2026-04,OPP-111,Discovery,28000,Pipeline,2026-06-01,104,,REP-010
2026-05,OPP-111,0a Discovery,28000,Pipeline,2026-06-01,132,,REP-010
2026-04,OPP-112,Qualified,38000,Pipeline,2026-07-01,58,,REP-010
2026-05,OPP-112,Qualified,38000,Pipeline,2026-07-01,86,,REP-010
2026-02,OPP-113,QUALIFY,16000,Pipeline,2026-07-01,54,,REP-010
2026-03,OPP-113,QUALIFY,16000,Pipeline,2026-08-01,82,,REP-010
2026-04,OPP-113,Qualified,16000,Pipeline,2026-08-01,110,,REP-010
2026-05,OPP-113,Qualified,16000,Pipeline,2026-08-01,138,,REP-010
2026-02,OPP-114,Initial Meeting,95000,Pipeline,2026-07-01,39,,REP-011
2026-03,OPP-114,Initial Meeting,95000,Pipeline,2026-07-01,67,,REP-011
2026-04,OPP-114,Initial Meeting,95000,Pipeline,2026-07-01,95,,REP-011
2026-05,OPP-114,Init Mtg,95000,Pipeline,2026-08-01,123,,REP-011
2026-02,OPP-115,Initial Meeting,35000,Pipeline,2026-06-14,55,,REP-011
2026-03,OPP-115,Init Mtg,35000,Pipeline,2026-06-14,83,,REP-011
2026-04,OPP-115,Initial Mtg,35000,Pipeline,2026-06-14,111,,REP-011
2026-05,OPP-115,Init Mtg,35000,Pipeline,2026-06-14,139,,REP-011
2026-02,OPP-116,Qualified,40000,Pipeline,2026-07-01,41,,REP-011
2026-03,OPP-116,QUALIFY,40000,Pipeline,2026-07-01,69,,REP-011
2026-04,OPP-116,QUALIFY,40000,Pipeline,2026-07-01,97,,REP-011
2026-05,OPP-116,QUALIFY,40000,Pipeline,2026-07-01,125,,REP-011
2026-02,OPP-117,Qualified,17000,Pipeline,2026-07-01,63,,REP-012
2026-03,OPP-117,QUALIFY,18000,Pipeline,2026-07-01,91,,REP-012
2026-04,OPP-117,Qualified,17000,Pipeline,2026-08-01,119,,REP-012
2026-05,OPP-117,Qualified,17000,Pipeline,2026-08-01,147,,REP-012
2026-02,OPP-118,Business Validation,26000,Pipeline,2026-07-01,45,2026-02-06,REP-013
2026-03,OPP-118,Business Validation,25000,Pipeline,2026-08-01,73,2026-03-19,REP-013
2026-04,OPP-118,Bus. Validation,26000,Pipeline,2026-08-01,101,,REP-013
2026-05,OPP-118,Business Validation,26000,Pipeline,2026-08-01,129,07/05/2026,REP-013
2026-02,OPP-119,Evaluation,21000,Best Case,2026-08-01,52,08/02/2026,REP-013
2026-03,OPP-119,Evaluation,21000,Best Case,2026-08-01,80,20/03/2026,REP-013
2026-04,OPP-119,Negotiation,21000,Best Case,2026-09-01,14,2026-04-13,REP-013
2026-05,OPP-119,Negotiation,21000,Best Case,2026-09-01,42,06/05/2026,REP-013
2026-02,OPP-120,Qualified,167000,Pipeline,2026-07-01,59,2026-02-12,REP-014
2026-03,OPP-120,Business Validation,167000,Pipeline,2026-07-01,4,19/03/2026,REP-014
2026-04,OPP-120,Biz Val,167000,Pipeline,2026-07-01,32,07/04/2026,REP-014
2026-05,OPP-120,Biz Val,167000,Pipeline,2026-07-01,60,16/05/2026,REP-014
2026-02,OPP-121,Initial Meeting,51000,Pipeline,2026-05-25,40,2026-02-10,REP-014
2026-03,OPP-121,Initial Meeting,52000,Pipeline,2026-05-25,68,12/03/2026,REP-014
2026-04,OPP-121,NBM,52000,Pipeline,2026-05-25,96,2026-04-07,REP-014
2026-05,OPP-121,Initial Meeting,52000,Pipeline,2026-06-01,124,07/05/2026,REP-014
2026-02,OPP-122,Qual,17000,Pipeline,2026-07-01,43,2026-02-13,REP-015
2026-03,OPP-122,Qualified,17000,Pipeline,2026-07-01,71,,REP-015
2026-04,OPP-122,Qualified,17000,Pipeline,2026-08-01,99,,REP-015
2026-05,OPP-122,QUALIFY,17000,Pipeline,2026-09-01,127,2026-05-10,REP-015
2026-02,OPP-123,Discovery,7000,Pipeline,2026-07-01,41,,REP-015
2026-03,OPP-123,Discovery,7000,Pipeline,2026-07-01,69,11/03/2026,REP-015
2026-04,OPP-123,Initial Mtg,7000,Pipeline,2026-07-01,2,21/04/2026,REP-015
2026-05,OPP-123,Initial Meeting,7000,Pipeline,2026-07-01,30,,REP-015
2026-02,OPP-124,Discovery,35000,Pipeline,2026-06-16,45,18/02/2026,REP-016
2026-03,OPP-124,Discovery,35000,Pipeline,2026-06-16,73,,REP-016
2026-04,OPP-124,Discovery,35000,Pipeline,2026-06-16,101,,REP-016
2026-05,OPP-124,0a Discovery,35000,Pipeline,2026-07-01,129,2026-05-09,REP-016
2026-02,OPP-125,disco,43000,Pipeline,2026-08-01,55,,REP-016
2026-03,OPP-125,Discovery,43000,Pipeline,2026-08-01,83,2026-03-11,REP-016
2026-04,OPP-125,disco,43000,Pipeline,2026-08-01,111,2026-04-17,REP-016
2026-05,OPP-125,Initial Meeting,43000,Pipeline,2026-08-01,14,2026-05-21,REP-016
2026-04,OPP-126,NBM,17000,Pipeline,2026-07-25,45,2026-04-16,REP-016
2026-05,OPP-126,Init Mtg,17000,Pipeline,2026-07-25,73,,REP-016
2026-01,OPP-127,Business Validation,13000,Pipeline,2026-07-10,62,,REP-012
2026-02,OPP-127,Business Validation,13000,Pipeline,2026-08-01,90,,REP-012
2026-03,OPP-127,Validate,13000,Pipeline,2026-08-01,118,,REP-012
2026-04,OPP-127,Biz Val,13000,Pipeline,2026-09-01,146,,REP-012
2026-05,OPP-127,Bus. Validation,13000,Pipeline,2026-09-01,174,,REP-012
2026-02,OPP-128,Validate,14000,Pipeline,2026-07-01,63,,REP-010
2026-03,OPP-128,Business Validation,14000,Pipeline,2026-07-01,91,,REP-010
2026-04,OPP-128,Validate,14000,Pipeline,2026-08-01,119,,REP-010
2026-05,OPP-128,Biz Val,14000,Pipeline,2026-08-01,147,,REP-010
2026-01,OPP-129,Bus. Validation,21000,Pipeline,2026-05-01,57,,REP-011
2026-02,OPP-129,Business Validation,21000,Pipeline,2026-05-01,85,,REP-011
2026-03,OPP-129,Business Validation,21000,Pipeline,2026-05-01,113,,REP-011
2026-04,OPP-129,BV,21000,Pipeline,2026-06-01,141,,REP-011
2026-05,OPP-129,Business Validation,21000,Pipeline,2026-06-01,169,,REP-011
2026-04,OPP-012,Closed Won,9000,Closed Won,2026-04-01,68,,REP-002
2026-04,OPP-013,Closed Won,14000,Closed Won,2026-04-01,104,,REP-002
2026-04,OPP-014,Closed Won,44000,Closed Won,2026-04-01,92,,REP-003
2025-04,OPP-022,Closed Won,162000,Closed Won,2025-04-01,160,,REP-004
2024-05,OPP-027,Closed Won,54000,Closed Won,2024-05-25,73,,REP-005
2026-04,OPP-032,Closed Won,146000,Closed Won,2026-04-01,152,,REP-006
2026-04,OPP-048,Closed Won,32000,Closed Won,2026-04-01,60,,REP-009
2025-09,OPP-051,Closed Won,49000,Closed Won,2025-09-07,66,,REP-010
2024-01,OPP-056,Closed Won,48000,Closed Won,2024-01-29,109,,REP-011
2026-04,OPP-075,Closed Won,108000,Closed Won,2026-04-01,116,,REP-015
2026-01,OPP-078,Closed Won,117000,Closed Won,2026-01-15,153,,REP-016
2025-02,OPP-082,Closed Won,11000,Closed Won,2025-02-17,113,,REP-016
